recno,Karmn,Name,GJ,RAICRS,DEICRS,SpType,l_vsini,vsini,Age,factive,SimbadName,_RA_icrs,_DE_icrs
123,"J10504+331 ",G 119-037,"  3626",162.608625,33.098416666666665,M4.0V,<,2.0,5.0,0,G 119-037,162.608625,33.098416666666665
124,"J10508+068 ",EE Leo,"   402",162.71308333333332,6.80461111111111,M4.0V,<,2.0,0.2,0,EE Leo,162.71308333333332,6.80461111111111
125,"J11000+228 ",Ross 104,"   408",165.01574999999997,22.831749999999996,M2.5V,<,2.0,0.1,0,Ross 104,165.01574999999997,22.831749999999996
126,"J11026+219 ",DS Leo,"   410",165.66041666666663,21.966916666666663,M1.0V," ",2.6,0.3,1,DS Leo,165.66041666666663,21.966916666666663
127,"J11033+359 ",Lalande 21185,"   411",165.831,35.94799999999999,M1.5V,<,2.0,5.0,0,Lalande 21185,165.831,35.94799999999999
128,"J11054+435 ",BD+44 2051A,"  412A",166.343,43.53099999999999,M1.0V,<,2.0,5.0,0,BD+44 2051,166.343,43.53099999999999
129,"J11110+304 ",HD 97101B,"  414B",167.76358333333332,30.443916666666663,M2.0V,<,2.0,5.0,0,HD 97101B,167.76358333333332,30.443916666666663
130,"J11126+189 ",StKM 1-928,"  3649",168.16229166666665,18.934861111111108,M1.5V,<,2.0,5.0,0,StKM 1-928,168.16229166666665,18.934861111111108
131,"J11201-104 ",LP 733-099,"     0",170.0245833333333,-10.49622222222222,M2.0V," ",3.6,0.3,1,LP 733-099,170.0245833333333,-10.49622222222222
132,"J11289+101 ",Wolf 398,"  3666",172.23112499999996,10.17997222222222,M3.5V,<,2.0,5.0,0,Wolf 398,172.23112499999996,10.17997222222222
133,"J11302+076 ",K2-18,"     0",172.56012499999997,7.587833333333332,M2.5V,<,2.0,0.1,0,K2-18,172.56012499999997,7.587833333333332
134,"J11306-080 ",LP 672-042,"     0",172.67274999999998,-8.094166666666666,M3.5V,<,2.0,5.0,0,LP 672-042,172.67274999999998,-8.094166666666666
135,"J11417+427 ",Ross 1003,"  1148",175.43262499999997,42.75158333333333,M4.0V,<,2.0,0.1,0,Ross 1003,175.43262499999997,42.75158333333333
136,"J11421+267 ",Ross 905,"   436",175.55054166666665,26.70305555555555,M2.5V,<,2.0,5.0,0,Ross 905,175.55054166666665,26.70305555555555
137,"J11467-140 ",GJ 443,"   443",176.6819583333333,-14.017777777777775,M3.0V,<,2.0,5.0,0,GJ 443,176.6819583333333,-14.017777777777775
138,"J11476+786 ",GJ 445,"   445",176.93887499999997,78.69322222222222,M3.5V,<,2.0,5.0,0,GJ 445,176.93887499999997,78.69322222222222
139,"J11477+008 ",FI Vir,"   447",176.93758333333332,0.7992777777777776,M4.0V,<,2.0,5.0,0,FI Vir,176.93758333333332,0.7992777777777776
140,"J11509+483 ",GJ 1151,"  1151",177.73049999999998,48.37322222222222,M4.5V,<,2.0,5.0,0,GJ 1151,177.73049999999998,48.37322222222222
141,"J11511+352 ",BD+36 2219,"   450",177.77912499999996,35.273111111111106,M1.5V,<,2.0,5.0,0,BD+36 2219,177.77912499999996,35.273111111111106
142,"J12054+695 ",Ross 689,"  3704",181.36804166666664,69.5393611111111,M4.0V,<,2.0,0.6,0,Ross 689,181.36804166666664,69.5393611111111
143,"J12100-150 ",LP 734-032,"  3707",182.52308333333332,-15.074444444444442,M3.5V,<,2.0,5.0,0,LP 734-032,182.52308333333332,-15.074444444444442
144,"J12111-199 ",LTT 4562," 3708A",182.79804166666665,-19.96136111111111,M3.0V,<,2.0,0.3,0,LTT 4562,182.79804166666665,-19.96136111111111
145,J12123+544S,HD 238090,"  458A",183.08862499999998,54.48616666666666,M0.0V,<,2.0,0.3,0,HD 238090,183.08862499999998,54.48616666666666
146,"J12156+526 ",StKM 2-809,"     0",183.91474999999997,52.65241666666666,M4.0V," ",35.3,0.3,0,StKM 2-809,183.91474999999997,52.65241666666666
147,"J12230+640 ",Ross 690,"   463",185.74404166666665,64.03244444444444,M3.0V,<,2.0,5.0,0,Ross 690,185.74404166666665,64.03244444444444
148,"J12248-182 ",Ross 695,"   465",186.22374999999997,-18.25222222222222,M2.0V,<,2.0,5.0,0,Ross 695,186.22374999999997,-18.25222222222222
149,"J12312+086 ",BD+09 2636,"   471",187.8130833333333,8.80836111111111,M0.5V,<,2.0,5.0,1,BD+09 2636,187.8130833333333,8.80836111111111
150,"J12350+098 ",GJ 476,"   476",188.7509583333333,9.82711111111111,M2.5V,<,2.0,5.0,0,GJ 476,188.7509583333333,9.82711111111111
151,"J12388+116 ",Wolf 433,"   480",189.71341666666663,11.695083333333331,M3.0V,<,2.0,5.0,0,Wolf 433,189.71341666666663,11.695083333333331
152,"J12428+418 ",G 123-055,"     0",190.70466666666664,41.896611111111106,M4.0V,<,2.0,0.6,1,G 123-055,190.70466666666664,41.896611111111106
153,"J12479+097 ",Wolf 437,"   486",191.98154166666663,9.749416666666665,M3.5V,<,2.0,5.0,0,Wolf 437,191.98154166666663,9.749416666666665
154,"J13005+056 ",FN Vir," 493.1",195.13562499999998,5.686527777777777,M4.5V," ",16.4,5.0,0,FN Vir,195.13562499999998,5.686527777777777
155,"J13196+333 ",Ross 1007," 507.1",199.91566666666665,33.34591666666666,M1.5V,<,2.0,0.1,0,Ross 1007,199.91566666666665,33.34591666666666
156,"J13209+342 ",BD+35 2439," 508.2",200.24437499999996,34.27766666666666,M1.0V,<,2.0,5.0,0,BD+35 2439,200.24437499999996,34.27766666666666
