PM,CNS3,RAJ2000,DEJ2000,pmRA,pmDE,Xray,HR1,FUV,NUV,Vmag,n_Vmag,Jmag,Hmag,Kmag,Obs,Date,CaH2,CaH3,TiO5,VO1,TiO6,VO2,Mst,SpT,zeta,logg,Teff,P,M,plx,e_plx,plx2,e_plx2,plx3,e_plx3,Uvel,Vvel,Wvel,EWHa,H,X,U,LSPM,2M,SimbadName
I01178+0528,GJ 3084,19.471865,5.474027,0.088,-0.63,,,23.62,,11.02,T,7.84,7.24,7.02,UH22,5796.1,0.615,0.813,0.697,0.965,0.912,0.958,1.04,M1.0,1.0,4.5,3520,P,,0.0488,0.0108,0.045,0.012,0.047,0.014,20.6,-48.6,,0.36,,,,1,2M,PM J01178+0528
I01178+2840,GJ 3083,19.460888,28.670479,-0.354,-0.266,,,,21.4,11.89,P,8.32,7.76,7.5,MDM,4789.7,0.614,0.814,0.706,0.946,0.915,0.94,1.0,M1.0,0.97,4.5,3550,P,,,,0.036,0.01,0.048,0.014,46.4,,-33.5,0.38,,,,1,2M,PM J01178+2840
I01200+3859W,,20.014769,38.990402,0.325,0.18,,,,20.32,12.03,T,8.82,8.25,8.02,MDM,5838.85,,,,,,,,G/K,,,,P,,0.0168,0.0036,,,,,,,,,,,,1,2M,PM J01200+3859W
I01214+2419,,20.37237,24.330563,0.342,0.007,,,22.6,19.5,10.7,T,7.89,7.28,7.11,MDM,4790.74,0.751,0.885,0.816,0.952,0.957,0.99,-0.22,M0.0,1.2,4.5,3840,,,0.0385,0.0027,0.035,0.009,0.036,0.011,-33.9,-24.3,,0.48,,,,1,2M,PM J01214+2419
I01221+2209,,20.542984,22.150799,0.237,-0.145,0.199,-0.22,20.88,19.84,12.99,P,8.41,7.82,7.54,MDM,3230.03,0.383,0.65,0.365,0.89,0.639,0.818,4.41,M4.5,1.0,5.0,3140,,,,,0.091,0.036,0.08,0.023,-8.6,-13.3,,-2.83,Y,,Y,1,2M,PM J01221+2209
I01226+1245N,,20.653135,12.752375,0.403,0.009,,,,,11.76,T,8.68,8.1,7.97,UH22,5789.1,0.736,0.878,0.834,0.983,0.967,0.982,-0.24,M0.0,0.99,4.5,3800,,,0.0215,0.0017,0.024,0.006,0.03,0.009,-71.7,-51.2,,0.57,,,,1,2M,PM J01226+1245N
I01244+1251,,21.116791,12.851954,-0.079,-0.143,,,,19.8,11.64,T,8.87,8.26,8.11,UH22,5847.91,0.833,0.914,0.921,0.987,0.987,1.003,-0.98,K7.0,0.84,4.5,4100,,,,,0.02,0.005,0.023,0.007,28.7,-11.6,,0.65,,,,1,2M,PM J01244+1251
I01246+5248,,21.156282,52.801376,0.216,-0.151,,,,19.08,11.01,T,8.18,7.52,7.39,MDM,4794.71,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,1,2M,PM J01246+5248
I01256+0945,GJ 3097,21.402725,9.756863,0.193,-0.391,,,,23.17,13.48,P,8.95,8.41,8.09,UH22,5796.09,0.419,0.691,0.424,0.923,0.705,0.813,3.74,M3.5,1.0,5.0,3210,P,,,,0.057,0.023,0.061,0.018,0.7,-29.9,,0.55,,,,1,2M,PM J01256+0945
I01266+1122N,,21.671494,11.38186,0.183,-0.118,,,22.22,20.63,11.68,T,8.91,8.3,8.08,UH22,5796.09,0.735,0.869,0.834,0.979,0.965,0.978,-0.18,M0.0,0.96,4.5,3740,,,,,0.022,0.006,0.022,0.006,-21.2,-41.0,,0.52,,,,1,2M,PM J01266+1122N
I01266+1122S,,21.671455,11.38166,0.183,-0.118,,,,20.44,12.61,T,8.91,8.3,8.08,UH22,5796.09,0.74,0.87,0.84,0.973,0.963,0.983,-0.2,M0.0,0.94,4.5,3740,,,,,0.022,0.006,0.039,0.012,-21.3,-41.1,,0.56,,,,1,2M,PM J01266+1122S
I01282+6946,,22.056856,69.775009,0.046,-0.007,,,,,11.13,T,8.32,7.74,7.56,MDM,5812.97,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J01282+6946
I01327+2059,,23.184652,20.987728,0.422,-0.14,,,,,11.72,P,8.82,8.26,8.02,MDM,4790.74,0.567,0.793,0.606,0.932,0.856,0.934,1.75,M2.0,1.1,4.5,3600,,,,,0.034,0.009,0.025,0.007,-54.1,-64.0,,0.41,,,,1,2M,PM J01327+2059
I01335+7118,,23.377394,71.303261,0.051,0.003,,,,,11.49,T,8.63,7.93,7.78,MDM,5812.98,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J01335+7118
I01373+6105,,24.339268,61.091267,-0.023,-0.073,,,,,12.0,T,8.66,8.06,7.82,MDM,5813.94,0.573,0.8,0.63,0.966,0.831,1.001,1.74,M1.5,1.06,5.0,3610,,,,,0.037,0.01,0.036,0.01,1.1,,-9.8,0.57,,,,0,2M,PM J01373+6105
I01376+1835,,24.414124,18.592419,0.07,-0.047,0.753,-0.13,15.76,14.34,10.7,T,7.48,6.86,6.72,MDM,5181.64,,,,,,,,G/K,,,,,,,,,,,,,,,,,Y,,0,2M,PM J01376+1835
I01383+5713,Gl  63,24.590086,57.232521,-0.138,-0.354,,,,,12.22,P,8.23,7.68,7.44,MDM,5095.87,0.48,0.75,0.519,0.934,0.822,0.916,2.61,M2.5,1.02,5.0,3540,P,,0.0862,0.0172,0.056,0.023,0.063,0.019,4.2,,-20.4,0.53,,,,1,2M,PM J01383+5713
I01384+0039,GJ 3103,24.624672,0.651555,0.513,0.162,,,,21.39,11.6,T,8.19,7.61,7.32,UH22,5052.01,0.542,0.781,0.604,0.953,0.835,0.918,1.99,M2.0,1.01,5.0,3490,P,,0.0494,0.003,0.049,0.013,0.046,0.014,-45.4,-18.5,,0.4,,,,1,2M,PM J01384+0039
I01407+5403,,25.187769,54.052696,0.04,-0.004,,,,,10.74,T,8.01,7.38,7.19,MDM,5812.01,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J01407+5403
I01432+2750,GJ 3108,25.816469,27.842108,0.551,-0.033,,,,19.31,10.4,T,7.48,6.81,6.6,MDM,2975.69,0.671,0.838,0.742,0.968,0.922,0.956,0.59,M0.5,1.07,4.5,3640,P,M,0.0472,0.0019,0.049,0.013,0.047,0.014,,-35.9,8.4,0.63,,,,1,2M,PM J01432+2750
I01433+0419,Gl  70,25.834145,4.321765,-0.42,-0.763,,,22.37,19.93,10.93,T,7.37,6.81,6.52,MDM,2975.7,0.504,0.756,0.554,0.933,0.785,0.873,2.54,M2.5,1.0,5.0,3430,P,,0.0876,0.002,0.082,0.033,0.073,0.022,35.9,-16.0,,0.32,,,,1,2M,PM J01433+0419
I01437+3458,,25.945202,34.970135,0.076,-0.076,,,,,11.29,T,8.56,7.89,7.76,MDM,5815.9,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J01437+3458
I01453+4632,,26.325829,46.535473,0.395,0.215,0.544,-0.12,19.5,18.52,11.42,T,8.06,7.42,7.2,MDM,4793.71,0.528,0.762,0.584,0.936,0.853,0.917,2.11,M2.0,0.99,5.0,3640,,,0.0392,0.0027,0.053,0.014,0.047,0.014,-36.6,,34.4,-1.46,Y,Y,Y,1,2M,PM J01453+4632
I01480+2112,GJ 3114,27.016491,21.206779,0.341,-0.213,,,,22.36,12.24,T,8.51,7.89,7.64,UH22,5052.04,0.491,0.746,0.537,0.946,0.799,0.887,2.64,M2.5,0.99,4.5,3380,P,,0.0491,0.0034,0.05,0.02,0.048,0.014,-18.8,-33.0,,0.35,,,,1,2M,PM J01480+2112
I01486+3306,,27.169367,33.101971,0.279,-0.025,0.133,-0.45,20.94,19.67,12.53,P,8.99,8.41,8.21,MDM,5815.91,,,,,,,,G/K,,,,,,0.0329,0.0046,,,,,,,,,,,,1,2M,PM J01486+3306
I01488+4747,,27.223732,47.796558,0.289,-0.162,,,,,11.71,P,8.85,8.18,7.96,MDM,4794.72,0.659,0.84,0.71,0.948,0.911,0.988,0.74,M0.5,1.17,4.5,3630,,,,,0.027,0.007,0.024,0.007,-43.0,,-17.6,0.54,,,,1,2M,PM J01488+4747
I01504+1817S,GJ 3116,27.616892,18.296249,0.246,-0.083,,,,,11.02,T,8.06,7.42,7.24,UH22,5954.71,0.749,0.883,0.852,0.975,0.956,0.968,-0.28,K7.5,0.95,4.5,3830,P,M,,,0.032,0.009,0.037,0.011,-23.6,-30.8,,0.58,,,,1,2M,PM J01504+1817S
I01518+6426,GJ 3117 A,27.963015,64.434998,0.247,-0.19,,,,,11.65,T,7.84,7.25,6.94,MDM,5182.64,0.509,0.742,0.556,0.933,0.8,0.865,2.55,M2.5,0.98,5.0,3530,P,,,,0.066,0.026,0.068,0.02,-15.4,,-8.8,0.54,,,,1,2M,PM J01518+6426
I01544+5741S,,28.616955,57.691948,-0.038,-0.215,0.236,0.02,,,11.78,P,8.52,8.01,7.74,MDM,4412.81,0.424,0.694,0.449,0.914,0.71,0.832,3.64,M3.5,0.97,5.0,3270,,,,,0.067,0.027,0.036,0.011,-0.1,,-28.5,-0.74,,,,1,2M,PM J01544+5741S
I01556+0252,,28.905481,2.882915,-0.298,-0.287,,,,21.06,12.04,T,8.97,8.24,8.1,UH22,5052.06,0.596,0.816,0.65,0.961,0.87,0.94,1.38,M1.5,1.11,5.0,3550,,,0.0251,0.0032,0.029,0.008,0.026,0.008,66.4,-4.5,,0.49,,,,1,2M,PM J01556+0252
I01567+2948,,29.182255,29.810841,-0.133,0.048,,,,20.53,11.62,T,8.88,8.24,8.11,UH22,5817.01,0.781,0.894,0.861,0.977,0.967,0.988,-0.5,K7.5,1.06,5.0,4000,,,0.0224,0.003,0.021,0.006,0.022,0.006,,23.2,1.3,0.57,,,,0,2M,PM J01567+2948
I01576+4742,,29.405142,47.702709,0.092,-0.095,,,,,11.92,P,8.77,8.22,7.95,MDM,4794.74,0.654,0.837,0.718,0.96,0.927,0.968,0.68,M0.5,1.11,4.5,3630,,,,,0.027,0.007,0.03,0.009,-12.1,,-11.4,0.42,,,,0,2M,PM J01576+4742
I01592+0331,GJ 1041 A,29.801548,3.519247,0.259,0.026,0.324,-0.23,20.61,19.02,10.89,T,8.0,7.38,7.12,UH22,5052.06,0.652,0.833,0.753,0.968,0.932,0.972,0.6,M0.5,0.96,4.5,3560,P,,0.0321,0.0033,0.038,0.01,0.036,0.011,-29.7,-21.3,,0.47,,,,2,2M,PM J01592+0331
I01593+5831,Gl  82,29.847891,58.52116,0.322,-0.195,0.457,-0.22,,,12.21,T,7.79,7.22,6.96,MDM,5094.89,0.426,0.674,0.394,0.919,0.657,0.883,4.0,M4.0,1.04,5.0,3290,P,,0.0816,0.0041,0.106,0.042,0.098,0.029,-15.5,,-6.1,-5.0,Y,,,1,2M,PM J01593+5831
I02002+1303,Gl  83.1,30.054022,13.051965,1.091,-1.78,0.167,-0.27,,,12.71,P,7.51,6.97,6.65,MDM,4107.7,0.356,0.632,0.335,0.948,0.598,0.763,4.77,M5.0,0.99,5.0,3130,,M,0.2248,0.045,0.157,0.063,0.163,0.048,-3.2,-40.1,,-0.83,Y,,,1,2M,PM J02002+1303
I02003+2636,,30.084053,26.600014,0.174,0.069,,,,19.6,11.15,T,8.36,7.75,7.59,MDM,4789.74,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,1,2M,PM J02003+2636
I02015+6346,GJ 3126,30.397266,63.770027,-0.255,-0.09,,,,,11.13,T,7.26,6.61,6.39,MDM,4794.73,0.503,0.77,0.501,0.94,0.771,0.932,2.65,M2.5,1.15,5.0,3600,P,,0.0784,0.0157,0.089,0.036,0.093,0.027,10.0,,-9.4,0.52,,,,1,2M,PM J02015+6346
I02024+1034,,30.617666,10.581507,-0.064,-0.067,0.282,-0.24,19.43,18.26,11.66,P,8.4,7.85,7.55,UH22,5052.07,0.377,0.624,0.4,0.915,0.671,0.788,4.41,M4.5,0.91,4.5,3100,,,,,0.092,0.037,0.038,0.011,9.0,-0.8,,-2.91,Y,,Y,0,2M,PM J02024+1034
I02028+0447,,30.717045,4.784017,-0.067,-0.11,,,21.71,20.24,13.14,P,8.98,8.4,8.08,MDM,5099.92,0.427,0.719,0.453,0.876,0.696,0.823,3.52,M3.5,1.01,5.0,3280,,,,,0.052,0.021,0.049,0.014,9.3,-3.6,,-1.24,Y,,Y,0,2M,PM J02028+0447
I02055+0541W,,31.376007,5.696593,0.104,-0.283,,,,20.89,12.02,T,8.94,8.27,8.09,UH22,6116.13,0.614,0.811,0.697,0.0,0.883,0.0,1.18,M1.0,1.0,4.5,3616,,,0.0267,0.0039,0.028,0.008,0.027,0.008,-21.2,1.6,,0.45,,,,1,2M,PM J02055+0541W
I02069+4511,Gl  84.2 AB,31.738405,45.184452,0.259,-0.45,,,,19.47,10.48,T,7.4,6.8,6.6,MDM,5815.92,0.745,0.857,0.857,0.991,0.953,1.077,-0.13,M0.0,0.82,4.5,3800,P,M,0.0535,0.0107,0.044,0.012,0.054,0.016,,-30.4,-30.0,0.48,,,,1,2M,PM J02069+4511
I02070+4938,,31.766058,49.645454,0.233,-0.43,,,21.67,20.3,12.13,P,8.37,7.77,7.54,MDM,2895.96,0.45,0.705,0.488,0.93,0.76,0.85,3.25,M3.5,0.96,5.0,3380,,M,,,0.064,0.025,0.052,0.015,,-26.9,-30.5,-0.16,,,Y,1,2M,PM J02070+4938
I02082+8013,,32.06562,80.221039,0.478,-0.289,,,,,11.4,T,8.45,7.73,7.57,MDM,2658.56,0.769,0.87,0.865,0.975,0.931,1.031,-0.17,M0.0,0.89,5.0,3860,,,,,0.027,0.007,0.031,0.009,-80.9,,-21.4,0.61,,,,1,2M,PM J02082+8013
I02088+4926,GJ 3136,32.223423,49.448971,0.23,-0.28,0.343,-0.06,20.5,18.66,12.32,P,8.42,7.81,7.58,MDM,4416.79,0.412,0.67,0.444,0.908,0.722,0.823,3.79,M4.0,0.93,5.0,3270,P,,,,0.074,0.029,0.055,0.016,,-21.0,-16.7,-3.76,Y,Y,Y,1,2M,PM J02088+4926
I02115+2046,,32.899788,20.77861,0.198,-0.037,,,,20.78,11.99,P,8.76,8.12,7.94,MDM,4790.76,0.666,0.844,0.733,0.949,0.921,0.956,0.6,M0.5,1.12,4.5,3640,,,,,0.027,0.007,0.032,0.009,,-26.3,5.9,0.43,,,,1,2M,PM J02115+2046
I02116+1833,,32.920731,18.560587,0.196,0.277,,,,22.36,12.93,P,8.67,8.13,7.87,UH22,5817.02,0.454,0.74,0.447,0.934,0.729,0.836,3.23,M3.0,1.1,5.0,3380,,M,,,0.055,0.022,0.06,0.018,,4.4,20.0,0.44,,,,1,2M,PM J02116+1833
I02123+0334,Gl  87,33.087696,3.575877,-1.761,-1.853,,,,,10.04,T,6.83,6.32,6.08,UH22,5817.1,0.577,0.814,0.626,0.964,0.859,0.932,1.55,M1.5,1.12,5.0,3650,,,0.096,0.0017,0.081,0.022,0.076,0.022,102.2,-11.4,,0.37,,,,1,2M,PM J02123+0334
I02146+5536,,33.65218,55.60799,0.049,-0.038,,,,,10.29,T,7.54,6.88,6.67,MDM,5812.02,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J02146+5536
I02153+0729,,33.841412,7.494251,0.4,-0.408,,,,21.51,11.88,T,8.63,8.1,7.82,MDM,2659.6,0.586,0.796,0.64,0.967,0.844,0.972,1.65,M1.5,1.06,4.5,3570,,,0.0325,0.0034,0.036,0.01,0.034,0.01,-16.1,-80.4,,0.4,,,,1,2M,PM J02153+0729
I02180+5616,,34.508644,56.267025,-0.102,-0.06,,,,,11.76,T,8.73,8.11,7.9,MDM,5814.97,0.717,0.846,0.845,0.984,0.957,1.086,0.01,M0.0,0.77,5.0,3760,,,,,0.025,0.007,0.028,0.008,11.5,,-17.4,0.51,,,,0,2M,PM J02180+5616
I02185+2047,,34.649792,20.797085,-0.034,-0.287,,,,,12.54,P,8.84,8.33,8.02,UH22,5817.02,0.496,0.744,0.549,0.951,0.821,0.899,2.52,M2.5,0.97,5.0,3500,,M,,,0.042,0.017,0.041,0.012,,-19.0,-25.5,0.44,,,,1,2M,PM J02185+2047
I02186+1218,,34.652393,12.316043,0.142,-0.094,0.0831,0.07,21.39,19.46,12.55,P,8.8,8.12,7.93,MDM,4108.7,0.506,0.746,0.565,0.988,0.791,0.858,2.54,M2.5,0.96,4.5,3540,,,,,0.042,0.017,0.042,0.012,-7.1,-17.6,,-1.95,Y,,Y,1,2M,PM J02186+1218
I02189+3513,,34.727608,35.218243,0.199,-0.034,,,,20.42,11.75,T,8.99,8.31,8.15,MDM,4794.76,0.695,0.841,0.769,0.947,0.943,0.984,0.35,M0.5,1.05,4.5,3700,,,0.0224,0.0031,0.023,0.006,0.021,0.006,,-31.0,7.9,0.51,,,,1,2M,PM J02189+3513
I02190+3521,Gl  94,34.762558,35.355137,0.673,-0.422,,,,,12.65,P,8.66,8.14,7.9,MDM,2975.72,0.432,0.723,0.421,0.912,0.68,0.805,3.6,M3.5,1.08,5.0,3280,P,M,0.0564,0.0113,0.062,0.025,0.052,0.015,,-55.1,-11.4,0.57,,,,1,2M,PM J02190+3521
I02204+3747W,GJ 3151 A/315,35.105328,37.79184,0.339,-0.067,,,,21.31,12.26,P,8.95,8.33,8.11,MDM,4414.83,0.488,0.748,0.53,0.932,0.777,0.892,2.72,M2.5,1.01,5.0,3520,P,,,,0.042,0.017,0.031,0.009,,-39.3,8.7,0.45,,,,2,2M,PM J02204+3747W
I02222+4752,Gl  96,35.56097,47.880024,0.217,0.041,0.031,-0.58,,,9.4,T,6.38,5.77,5.55,MDM,5093.91,0.679,0.83,0.747,0.954,0.92,1.008,0.61,M0.5,1.05,4.5,3650,P,,0.0838,0.0011,0.081,0.022,0.083,0.024,,-7.1,6.3,0.6,,,,1,2M,PM J02222+4752
I02230+1810,,35.774818,18.176252,0.159,-0.15,,,,20.6,11.73,T,8.49,7.9,7.68,MDM,4791.82,0.703,0.859,0.764,0.954,0.937,0.992,0.26,M0.5,1.18,4.5,3700,,,,,0.029,0.008,0.036,0.011,,-33.5,-8.0,0.48,,,,1,2M,PM J02230+1810
I02234+2244,,35.860962,22.735266,0.096,-0.109,,,,18.75,11.58,T,8.18,7.56,7.35,UH22,5817.98,0.656,0.822,0.765,0.964,0.92,0.955,0.67,M0.5,0.89,4.5,3600,,,0.0349,0.0028,0.036,0.01,0.046,0.014,,-17.9,-6.4,-0.62,,,Y,0,2M,PM J02234+2244
I02239+1812,,35.979298,18.200548,0.063,-0.029,,,,18.08,9.23,T,6.46,5.89,5.69,UH22,5817.03,,,,,,,,G/K,,,,,,,,0.074,0.02,0.068,0.02,,-3.9,0.1,,,,,0,2M,PM J02239+1812
I02247+2558,GJ 3156,36.192142,25.976202,-0.094,-0.175,,,,20.15,11.6,T,8.46,7.84,7.61,MDM,4790.76,0.629,0.831,0.694,0.938,0.896,0.946,0.98,M1.0,1.1,4.5,3560,P,,,,0.034,0.009,0.034,0.01,,-6.4,-23.5,0.3,,,,1,2M,PM J02247+2558
I02251+5504,,36.296673,55.071835,0.176,-0.206,,,,,11.72,T,8.81,8.21,7.99,MDM,4794.77,0.683,0.849,0.772,0.95,0.926,0.971,0.41,M0.5,1.03,4.5,3640,,,,,0.025,0.007,0.025,0.007,,-33.5,-24.1,0.49,,,,1,2M,PM J02251+5504
I02254+2440,,36.367081,24.676903,-0.098,0.008,,,,21.09,12.17,P,8.88,8.18,7.95,UH22,5817.02,0.541,0.783,0.582,0.953,0.828,0.898,2.06,M2.0,1.07,5.0,3650,,,,,0.036,0.01,0.031,0.009,,10.5,-4.4,0.48,,,,0,2M,PM J02254+2440
I02283+2159,,37.092007,21.995966,0.047,-0.022,,,,19.79,11.81,T,8.46,7.81,7.63,UH22,5817.04,0.637,0.82,0.75,0.966,0.926,0.958,0.75,M0.5,0.89,4.5,3580,,,,,0.032,0.009,0.039,0.012,,-6.6,0.2,0.08,,,,0,2M,PM J02283+2159
I02287+1538,,37.195625,15.648204,0.157,0.007,,,21.62,20.26,12.44,P,8.79,8.16,7.96,UH22,5817.05,0.544,0.773,0.61,0.95,0.839,0.901,1.99,M2.0,0.98,5.0,3550,,,,,0.037,0.01,0.04,0.012,,-12.6,8.0,0.04,,,Y,1,2M,PM J02287+1538
I02289+1205,GJ 3160,37.227844,12.089146,0.004,0.082,,,,21.91,12.0,T,8.37,7.77,7.58,UH22,5817.05,0.495,0.748,0.545,0.941,0.811,0.892,2.55,M2.5,0.99,5.0,3470,P,,0.0384,0.0032,0.052,0.021,0.048,0.014,-3.9,6.8,,0.39,,,,0,2M,PM J02289+1205
I02289+2236,,37.242722,22.60689,0.126,-0.028,,,,,11.52,P,8.79,8.18,8.06,UH22,5842.98,0.561,0.831,0.553,0.967,0.802,0.891,1.89,M2.0,1.35,4.5,3560,,,,,0.036,0.01,0.023,0.007,,-20.9,5.4,0.71,,,,0,2M,PM J02289+2236
I02292+1932,,37.308918,19.543222,0.144,-0.213,,,20.54,19.03,12.65,P,8.96,8.38,8.1,MDM,4416.8,0.509,0.744,0.593,0.927,0.771,0.843,2.54,M2.5,0.9,5.0,3400,,,,,0.039,0.016,0.038,0.011,,-29.2,-12.0,-2.35,Y,,Y,1,2M,PM J02292+1932
I02301+2537,,37.535332,25.622234,0.215,-0.075,,,,19.9,11.16,T,8.45,7.81,7.67,UH22,5817.03,0.793,0.899,0.882,0.985,0.978,0.99,-0.67,K7.5,0.97,4.5,4050,,M,,,0.025,0.007,0.026,0.008,,-35.6,4.3,0.64,,,,1,2M,PM J02301+2537
I02330+0749,,38.268955,7.828449,0.216,-0.078,,,,20.82,12.0,T,8.65,7.97,7.75,UH22,5076.0,0.553,0.791,0.607,0.948,0.824,0.916,1.93,M2.0,1.05,5.0,3600,,,0.0289,0.0034,0.039,0.01,0.036,0.011,-18.0,-32.5,,0.51,,,,1,2M,PM J02330+0749
I02336+2455,Gl  102,38.404919,24.927168,0.052,-0.661,0.145,-0.52,20.99,19.47,12.73,P,8.47,7.91,7.63,MDM,2975.73,0.383,0.671,0.365,0.9,0.63,0.754,4.31,M4.5,1.03,5.0,3130,P,,0.1024,0.0205,0.086,0.034,0.066,0.019,,-20.9,-22.1,-3.06,Y,,Y,1,2M,PM J02336+2455
I02341+6843,,38.541203,68.722488,0.052,-0.03,,,,17.98,9.9,T,7.02,6.41,6.19,MDM,5812.99,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J02341+6843
I02345+5636,,38.644505,56.612675,0.094,-0.215,,,,,12.61,P,8.89,8.24,8.04,MDM,5093.93,0.562,0.771,0.612,0.94,0.842,0.987,1.93,M2.0,1.01,4.5,3540,,M,,,0.035,0.009,0.04,0.012,,-17.9,-22.1,0.32,,,,1,2M,PM J02345+5636
I02356+6852,,38.909618,68.86985,0.032,-0.039,,,,20.23,10.59,T,7.82,7.2,7.03,MDM,5812.99,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,0,2M,PM J02356+6852
I02358+2013,Gl  104,38.97208,20.219902,0.252,-0.14,,,21.2,19.84,10.68,T,7.21,6.57,6.33,MDM,4790.78,0.548,0.785,0.593,0.929,0.841,0.909,1.95,M2.0,1.06,4.5,3540,P,,0.0736,0.0019,0.075,0.02,0.075,0.022,,-16.7,0.0,0.39,,,,1,2M,PM J02358+2013
I02362+0652,Gl  105  B,39.063599,6.871677,1.813,1.447,,,,,11.84,P,7.33,6.79,6.57,UH22,5817.07,0.402,0.702,0.387,0.91,0.642,0.761,3.99,M4.0,1.06,4.5,3130,,,0.137,0.0274,0.13,0.052,0.127,0.037,-60.9,-4.7,,0.27,,,,1,2M,PM J02362+0652
I02367+3204W,GJ 3169 A/317,39.198997,32.072311,-0.334,-0.074,,,,21.57,12.82,P,8.97,8.3,8.18,MDM,5815.93,0.418,0.682,0.451,0.928,0.704,0.847,3.74,M3.5,0.94,5.0,3270,P,,0.0652,0.013,0.056,0.023,0.042,0.012,,12.8,-13.9,-0.03,,,Y,2,2M,PM J02367+3204W
I02419+4334,,40.495914,43.572014,-0.046,-0.023,,,,,11.53,T,8.24,7.65,7.42,MDM,5815.95,0.65,0.813,0.77,0.985,0.907,1.015,0.79,M1.0,0.83,4.5,3570,,,,,0.036,0.01,0.042,0.012,,2.5,-5.2,0.52,,,,0,2M,PM J02419+4334
I02424+1814,,40.606491,18.245087,0.211,0.109,,,,,12.46,P,8.87,8.24,8.01,UH22,5817.04,0.603,0.823,0.65,0.96,0.875,0.935,1.29,M1.5,1.15,4.5,3600,,,0.0305,0.0041,0.03,0.008,0.037,0.011,,-10.1,25.1,0.38,,,,1,2M,PM J02424+1814
I02441+4913W,Gl  107  B,41.042744,49.231682,0.336,-0.084,0.152,-0.69,,,10.25,P,6.69,6.08,5.86,UH22,5789.11,0.566,0.797,0.644,0.957,0.864,0.927,1.61,M1.5,1.0,4.5,3580,,,,,0.088,0.024,0.101,0.03,,-13.8,3.6,0.4,,,,1,2M,PM J02441+4913W
I02442+2531,Gl  109,41.064491,25.523407,0.865,-0.367,0.0528,-0.5,,20.29,10.55,T,6.75,6.2,5.96,UH22,5842.97,0.465,0.75,0.52,0.947,0.786,0.852,2.79,M3.0,0.99,5.0,3360,,M,0.1332,0.0023,0.117,0.047,0.112,0.033,,-28.7,3.2,-0.06,,,,1,2M,PM J02442+2531
I02443+1057W,,41.088982,10.96147,0.066,-0.035,,,,,10.98,T,7.97,7.36,7.12,UH22,5817.06,0.678,0.835,0.745,0.953,0.855,0.897,0.87,M1.0,1.08,4.5,3630,,,0.0286,0.003,0.041,0.011,0.04,0.012,,-11.4,1.1,-1.41,Y,,,0,2M,PM J02443+1057W
I02456+4456,GJ 3178 A,41.415245,44.948772,0.41,-0.126,,,,,10.8,T,7.82,7.16,6.98,MDM,5847.92,0.675,0.848,0.759,0.968,0.922,0.975,0.49,M0.5,1.05,4.5,3640,P,,0.0433,0.0023,0.041,0.011,0.042,0.012,,-36.2,7.0,0.35,,,,1,2M,PM J02456+4456
I02479+2842,,41.982826,28.712278,-0.166,0.014,,,,,11.07,T,8.34,7.74,7.48,MDM,4790.79,0.74,0.878,0.843,0.952,0.968,0.983,-0.28,K7.5,0.96,,,,,0.0365,0.0025,0.028,0.008,0.028,0.008,,15.4,-7.9,,,,,1,2M,PM J02479+2842
I02487+0002,,42.18121,0.034496,0.495,0.078,,,,21.06,11.69,T,8.66,8.07,7.86,UH22,5076.03,0.652,0.837,0.746,0.967,0.912,0.973,0.68,M0.5,1.0,4.5,3560,,,0.0311,0.0078,0.029,0.008,0.029,0.009,-51.8,-41.0,,0.42,,,,1,2M,PM J02487+0002
I02524+2658,GJ 3186,43.104286,26.975012,0.01,-0.232,,,,,10.86,T,7.94,7.3,7.08,UH22,5843.01,0.614,0.823,0.69,0.955,0.889,0.937,1.11,M1.0,1.05,4.5,3600,P,,0.0362,0.0024,0.044,0.012,0.038,0.011,,-20.3,-22.4,0.44,,,,1,2M,PM J02524+2658
I02525+5832,,43.131279,58.542717,0.262,-0.221,,,,,11.57,T,8.82,8.14,8.0,MDM,4794.78,,,,,,,,G/K,,,,,,,,,,,,,,,,,,,1,2M,PM J02525+5832
I02530+1652,,43.253693,16.881302,3.386,-3.747,,,,,15.13,P,8.39,7.88,7.58,MDM,3228.03,0.23,0.56,0.124,0.82,0.261,0.464,6.8,M7.0,1.1,,,,,0.2592,9.0E-4,0.236,0.094,0.199,0.059,,-88.9,-17.3,,,,,1,2M,PM J02530+1652
I02534+1724,,43.358814,17.409012,0.013,-0.248,,,,,12.9,P,8.72,8.15,7.87,UH22,5817.04,0.44,0.704,0.481,0.935,0.768,0.86,3.28,M3.5,0.95,5.0,3240,,,,,0.055,0.022,0.056,0.016,,-15.3,-13.4,0.27,,,,1,2M,PM J02534+1724
